id;sentence;mean_word_length;mean_syllables;max_syllables;lexical_density;tokens;max_dependency_distance;fin_verbs;mean_band_subtlex;mean_complexity
3;Etwa 5000 Jahre ist es her, seit die Sumerer das Sieden von Seife erfanden.;4,28571428571429;1,57142857142857;3;0,3571428571428572;14;12;2;13,80000000000000;1,888888889
4;Als Nebenprodukt entstand damals natürlich auch die erste Seifenblase.;6,77777777777778;2,22222222222222;4;0,4444444444444444;9;7;1;12,75000000000000;1,600000000
5;Wegen dieser leichten Vergänglichkeit wurde ,Seifenblase‘ zu einer Metapher für etwas, das zwar anziehend, aber dennoch inhalts- und gehaltlos ist.;6,10000000000000;2,00000000000000;4;0,3500000000000000;20;21;2;15,50000000000000;4,428571429
6;Dies spiegelt sich zum Beispiel in der Redewendung „Der Traum zerplatzte wie eine Seifenblase“ oder im Synonym ,Seifenblasenwirtschaft‘ für Bubble Economy.;6,19047619047619;2,00000000000000;6;0,3809523809523810;21;26;1;14,87500000000000;3,300000000
7;In der Kunst wird spätestens seit dem Barock die Seifenblase durchgängig ikonographisch als ein Vanitassymbol benutzt und spiegelt sowohl die Schönheit als auch die Flüchtigkeit des menschlichen Lebens wider.;6,17241379310345;1,86206896551724;5;0,4137931034482759;29;16;2;14,41666666666667;4,000000000
8;Seifenblasen lösen auf physikalische Weise komplexe räumliche Probleme in der Mathematik, da sie im Gleichgewichtszustand die kleinste Oberfläche zwischen Punkten und Kanten bilden.;6,82608695652174;2,26086956521739;5;0,6086956521739131;23;24;2;13,35714285714286;3,444444444
9;Seifenblasen bestehen aus einem dünnen (dipolaren) Wasserfilm, an dem sich innen und außen Seifenmoleküle anlagern mit einer dem Wasser zugewandten polaren, hydrophilen Carboxylat-Gruppe und einem dem Wasser abgewandten unpolaren, hydrophoben Alkylrest.;6,75000000000000;2,46875000000000;6;0,5625000000000000;32;37;2;16,77777777777778;5,000000000
10;Der Aufbau ähnelt dem von Biomembranen, jedoch befindet sich bei Seifenblasen das Wasser innerhalb der Membran, nicht außerhalb.;6,00000000000000;1,94444444444444;4;0,3888888888888889;18;18;2;13,71428571428571;3,444444444
11;Eine Seifenblase entsteht, wenn sich ein dünner Wasserfilm mit Seifenmolekülen vermischt.;7,00000000000000;2,27272727272727;6;0,5454545454545454;11;10;2;16,00000000000000;2,900000000
12;Beim Aufblasen entsteht eine Kugelform.;6,80000000000000;2,20000000000000;3;0,6000000000000000;5;4;1;16,00000000000000;1,666666667
13;Infolge des gravitationsbedingten Auslaufens (Drainage) der zwischen den Seifenfilmoberflächen befindlichen Flüssigkeit dünnt eine Seifenblase in ihrem oberen Teil zunehmend aus.;7,80000000000000;2,65000000000000;8;0,5500000000000000;20;14;1;16,09090909090909;4,833333333
15;Zudem erfolgt im Laufe des Auslaufprozesses eine Anreicherung von Seifenfilm-stabilisierenden Tensidmolekülen im unteren Bereich der Seifenblase, sodass deren obere Region infolge des relativen Mangels von an die Oberfläche adsorbierten Tensidmolekülen zusätzlich destabilisiert wird.;7,32352941176471;2,64705882352941;6;0,5588235294117647;34;37;2;16,15789473684211;5,700000000
16;Tatsächlich platzen die meisten Seifenblasen im oberen Teil.;6,50000000000000;2,00000000000000;4;0,5000000000000000;8;8;1;12,00000000000000;2,666666667
18;Dadurch verlängert sich die Lebensdauer der Blase erheblich.;6,50000000000000;2,12500000000000;4;0,5000000000000000;8;7;1;13,75000000000000;2,777777778
19;Die Schichtdicke der Seifenblase lässt sich beobachten: Spiegelt die Oberfläche in bunten Interferenzfarben, ist die Schichtdicke vergleichbar mit der Wellenlänge des Lichts.;6,81818181818182;2,09090909090909;6;0,5454545454545454;22;20;3;14,83333333333333;4,200000000
20;Bei abnehmender Schichtdicke wird die Seifenhaut zunächst farblos und zum Schluss dunkel.;6,41666666666667;1,83333333333333;4;0,5000000000000000;12;6;1;15,83333333333333;3,750000000
22;Die Blasenwand ist dicker und gleichmäßiger und übersteht auch einen Nadelstich.;6,27272727272727;1,90909090909091;4;0,4545454545454546;11;8;2;16,40000000000000;3,500000000
23;Die Erzeugung von Seifenblasen ist möglich, da die Oberfläche einer Flüssigkeit – in diesem Falle des Wassers – eine Oberflächenspannung besitzt, die zu einem elastischen Verhalten der Oberfläche führt.;6,25925925925926;2,00000000000000;5;0,4814814814814815;27;26;3;13,30769230769231;4,400000000
25;Das Gegenteil ist jedoch der Fall: Die Oberflächenspannung des Seifenwassers ist nur etwa ein Drittel so groß wie die des Wassers.;5,14285714285714;1,61904761904762;5;0,3333333333333333;21;17;2;13,14285714285714;2,555555556
26;Seifenblasen mit reinem Wasser zu machen ist so schwierig, weil die Oberflächenspannung zu hoch ist, wodurch die Blase sofort zerplatzt.;5,70000000000000;1,75000000000000;5;0,4500000000000000;20;14;3;12,22222222222222;3,333333333
27;Zusätzlich verlangsamt die Seife die Verdunstung, so dass die Blasen länger halten.;5,83333333333333;1,83333333333333;3;0,5833333333333334;12;12;2;12,28571428571429;3,111111111
29;Die Oberflächenspannung ist ebenfalls der Grund für die kugelförmige Gestalt der Seifenblasen.;6,83333333333333;2,08333333333333;5;0,4166666666666667;12;7;1;15,00000000000000;2,125000000
30;Durch Minimierung der Oberfläche zwingt sie die Blase in diese Form, da von allen möglichen Formen zu einem gegebenen Volumen die Kugel die kleinste Oberfläche aufweist.;5,46153846153846;1,84615384615385;4;0,5000000000000000;26;23;2;13,00000000000000;3,666666667
32;Aufgrund ihres geringen Eigengewichts kommen Seifenblasen diesem Ideal in der Realität sehr nahe.;6,46153846153846;2,23076923076923;4;0,5384615384615384;13;9;1;12,57142857142857;2,357142857
33;Der Begriff Badekultur oder Badewesen bezieht sich auf das Baden in warmem oder kaltem Wasser, das in erster Linie der Reinigung dient, aber auch der Förderung der Gesundheit und des Wohlbefindens.;5,29032258064516;1,74193548387097;4;0,4516129032258064;31;28;2;13,92857142857143;3,000000000
34;Das Dampfbad, heute zur Sauna gezählt, diente ebenfalls diesem Zweck.;5,70000000000000;1,70000000000000;2;0,5000000000000000;10;10;1;13,00000000000000;1,555555556
35;Die Ursprünge der europäischen Badekultur liegen in der Antike, als öffentliche Thermen auch eine wichtige soziale Funktion hatten.;6,22222222222222;2,27777777777778;4;0,5555555555555556;18;14;2;14,10000000000000;1,700000000
36;Mit der Völkerwanderung kam der Zerfall der römischen Badekultur.;6,22222222222222;2,11111111111111;5;0,5555555555555556;9;6;1;15,40000000000000;1,666666667
37;Im Byzantinischen Reich dagegen blieb die Tradition bestehen und wurde später von den islamischen Eroberern fortgeführt (etwa in Gestalt des hamm?m).;6,00000000000000;2,04761904761905;5;0,4761904761904762;21;19;2;12,90000000000000;2,000000000
38;Im Mittelalter wurde die Tradition auch in Europa wieder aufgenommen, mit den im Vergleich zu den Thermen allerdings bescheiden dimensionierten Badehäusern.;6,38095238095238;2,23809523809524;5;0,3809523809523810;21;14;1;14,75000000000000;2,444444444
40;Über private Badezimmer verfügte die große Masse der europäischen Bevölkerung erst ab dem 20Jahrhundert.;6,42857142857143;2,21428571428571;4;0,5714285714285714;14;11;1;13,00000000000000;1,800000000
41;Die Bedeutung des Bades in verschiedenen Epochen war immer eng mit den jeweils herrschenden Vorstellungen von Hygiene verknüpft.;6,11111111111111;1,94444444444444;4;0,5000000000000000;18;18;1;14,00000000000000;2,200000000
43;In Mohenjo-Daro lag ein Bad auf der „Zitadelle“ und befand sich in einem Gebäude mit einem 7 × 12 m großen und 2,4 m tiefen Becken, in das zwei Treppen hinabführten.;4,06250000000000;1,53125000000000;4;0,3750000000000000;32;32;3;12,20000000000000;2,444444444
44;Die Wasserversorgung erfolgte über Brunnen.;7,60000000000000;2,40000000000000;5;0,6000000000000000;5;3;1;14,00000000000000;1,444444444
45;Die Größe der Anlage deutet an, dass dieses Bad nicht nur der Körperreinigung, sondern wohl auch rituellen Zwecken und dem Vergnügen am Baden dienen sollte.;5,16000000000000;1,76000000000000;5;0,3600000000000000;25;24;2;13,11111111111111;3,000000000
46;Aber nicht nur in diesem wohl öffentlichen Gebäude fand man Badeeinrichtungen, sondern auch in vielen Häusern der Stadt, die auf ein ausgeprägtes Hygienebedürfnis der Bewohner, vielleicht aber auch auf rituelle Waschungen schließen lassen.;6,15151515151515;1,96969696969697;6;0,3939393939393939;33;28;2;13,00000000000000;4,181818182
